config,predictor,ipc,cpi,epi,mpi,dpi,ppi,throughput,p1_latency,p2_latency
gshare,gshare<>,4.587156,0.600000,724.000000,0.060000,0.000000,0.158000,6.329114,1,2
perceptron,perceptron<>,4.587156,0.600000,1224.000000,0.060000,0.002000,0.117000,8.547009,0,2
bimodal,bimodal<>,4.385965,0.522000,652.000000,0.058000,0.007000,0.163000,6.134969,1,1
tage,tage<>,4.201681,0.590000,1418.000000,0.059000,0.007000,0.164000,6.097561,1,2
gapL,gapL<>,2.652520,0.540000,183.000000,0.060000,0.000000,0.158000,6.329114,2,2
gagL,gagL<>,2.631579,0.540000,105.000000,0.060000,0.000000,0.158000,6.329114,2,2
pagL,pagL<>,2.380952,0.594000,200.000000,0.066000,0.000000,0.165000,6.060606,2,2
papL,papL<>,1.818182,0.549000,330.000000,0.061000,0.000000,0.159000,6.289308,3,3
gshare_simple,gshare_simple<>,0.940734,0.540000,59.000000,0.060000,0.000000,1.000000,1.000000,1,1
gag,gag<>,0.928505,0.531000,27.000000,0.059000,0.000000,1.000000,1.000000,1,1
gap,gap<>,0.921659,0.558000,27.000000,0.062000,0.000000,1.000000,1.000000,1,1
pap,pap<>,0.902527,0.700000,313.000000,0.070000,0.000000,1.000000,1.000000,1,2
pag,pag<>,0.895255,0.621000,192.000000,0.069000,0.000000,1.000000,1.000000,1,1
lxor_8_6,"lxor<8,6>",0.894454,0.603000,244.000000,0.067000,0.020000,1.000000,1.000000,0,1
lxor_10_8,lxor<>,0.884956,0.700000,513.000000,0.070000,0.015000,1.000000,1.000000,0,2
lxor,lxor<>,0.884956,0.700000,513.000000,0.070000,0.015000,1.000000,1.000000,0,2
lxor_12_10,"lxor<12,10>",0.870322,0.888000,1564.000000,0.074000,0.012000,1.000000,1.000000,0,4
