config,predictor,ipc,cpi,epi,mpi,dpi,ppi,throughput,p1_latency,p2_latency
gapL,gapL<>,2.624190,0.190440,180.000000,0.021160,0.000000,0.175210,5.707437,2,2
gagL,gagL<>,2.548030,0.228600,107.000000,0.025400,0.000000,0.177630,5.629680,2,2
pagL,pagL<>,2.234287,0.360360,207.000000,0.040040,0.000000,0.180790,5.531279,2,2
papL,papL<>,1.662096,0.308790,340.000000,0.034310,0.000000,0.174440,5.732630,3,3
gshare_simple,gshare_simple<>,0.953262,0.275130,59.000000,0.030570,0.000000,1.000000,1.000000,1,1
gag,gag<>,0.928703,0.430290,27.000000,0.047810,0.000000,1.000000,1.000000,1,1
pag,pag<>,0.921769,0.253080,192.000000,0.028120,0.000000,1.000000,1.000000,1,1
pap,pap<>,0.921353,0.308400,309.000000,0.030840,0.000000,1.000000,1.000000,1,2
gap,gap<>,0.918400,0.501930,28.000000,0.055770,0.000000,1.000000,1.000000,1,1
lxor,lxor<>,0.878982,0.281800,503.000000,0.028180,0.052720,1.000000,1.000000,0,2
